item_id_enc,category_id,parent_id,item_popularity,category_popularity,parent_popularity
149149,1066.0,293,22,7412,8099
214481,112.0,381,4,66052,66282
197242,686.0,594,9,7493,9219
26851,,-1,15,0,590631
97629,451.0,945,1,12111,16966
111503,888.0,866,1,234988,235872
191986,6.0,933,17,68197,87386
10420,202.0,1008,4,68054,68963
11285,,-1,85,0,590631
190703,790.0,1492,1,271166,276977
11319,888.0,866,43,234988,235872
179302,186.0,865,23,1741,1979
43492,942.0,125,42,962,1056
223089,6.0,933,1,68197,87386
28398,888.0,866,4,234988,235872
45705,790.0,1492,12,271166,276977
219443,,-1,39,0,590631
130220,6.0,933,4,68197,87386
24363,159.0,1028,3,60445,60669
218847,230.0,1424,1,8926,12622
172285,888.0,866,1,234988,235872
88565,49.0,1125,1,1076,2582
124929,790.0,1492,151,271166,276977
129132,506.0,250,167,5458,82373
117246,790.0,1492,10,271166,276977
131106,678.0,250,12,64043,82373
51765,451.0,945,1,12111,16966
77291,765.0,1229,1,2551,4716
166673,,-1,14,0,590631
88823,550.0,1139,5,8923,9167
14651,790.0,1492,27,271166,276977
131294,698.0,1251,13,44115,44743
120587,888.0,866,2,234988,235872
143157,888.0,866,4,234988,235872
165256,,-1,25,0,590631
165290,776.0,727,1,78927,80906
212559,202.0,1008,2,68054,68963
78952,790.0,1492,37,271166,276977
54138,364.0,711,83,68301,68312
134231,960.0,594,1,1378,9219
15071,0.0,605,6,6543,8161
142900,227.0,602,4,52466,52865
14435,713.0,1615,8,12789,13983
146349,707.0,561,26,444,4266
88885,33.0,1224,3,2685,7962
129935,,-1,110,0,590631
152537,235.0,1224,1,842,7962
123331,888.0,866,17,234988,235872
160365,159.0,1028,20,60445,60669
159029,,-1,1,0,590631
141362,202.0,1008,2,68054,68963
217613,917.0,1374,1,62155,62171
20442,790.0,1492,8,271166,276977
122327,364.0,711,73,68301,68312
213433,392.0,1202,57,2331,2377
20253,159.0,1028,7,60445,60669
158633,,-1,15,0,590631
178071,790.0,1492,8,271166,276977
174221,689.0,207,16,23918,24621
218616,790.0,1492,1,271166,276977
56923,,-1,61,0,590631
49725,364.0,711,2,68301,68312
32331,620.0,1515,6,1132,1232
8885,202.0,1008,4,68054,68963
121554,978.0,747,8,6979,6979
166139,888.0,866,19,234988,235872
152812,447.0,1009,62,2593,11191
69556,752.0,630,10,169,841
98416,,-1,3,0,590631
111063,704.0,1426,1,147,4322
46136,790.0,1492,17,271166,276977
29646,208.0,33,1,1467,68188
68256,,-1,1,0,590631
11482,6.0,933,1,68197,87386
15683,,-1,1,0,590631
88753,888.0,866,2,234988,235872
97496,790.0,1492,23,271166,276977
97510,,-1,1,0,590631
36922,678.0,250,22,64043,82373
109081,,-1,7,0,590631
68296,776.0,727,1,78927,80906
199643,348.0,1499,4,21108,21418
213666,764.0,1370,7,62573,62592
158744,188.0,1200,37,4591,5929
35529,581.0,1600,11,10543,11363
158086,1032.0,557,11,8000,8131
201763,,-1,41,0,590631
40750,790.0,1492,65,271166,276977
193686,678.0,250,1,64043,82373
30011,888.0,866,1,234988,235872
233889,888.0,866,36,234988,235872
72033,6.0,933,1,68197,87386
68406,917.0,1374,2,62155,62171
178015,888.0,866,1,234988,235872
73292,888.0,866,2,234988,235872
62340,495.0,664,44,947,3249
124581,776.0,727,16,78927,80906
107660,189.0,586,10,2898,3409
199773,790.0,1492,78,271166,276977
143353,581.0,1600,139,10543,11363
91784,908.0,1487,125,1697,2527
18995,400.0,110,1,32988,33761
205755,888.0,866,9,234988,235872
21255,62.0,383,2,2209,2249
12434,839.0,33,19,66622,68188
111783,6.0,933,13,68197,87386
719,917.0,1374,24,62155,62171
141215,159.0,1028,3,60445,60669
198675,839.0,33,1,66622,68188
203027,988.0,727,1,1074,80906
128029,917.0,1374,11,62155,62171
224836,,-1,13,0,590631
154234,888.0,866,10,234988,235872
7754,71.0,1579,16,8372,80723
23783,660.0,586,24,511,3409
175836,888.0,866,2,234988,235872
180945,561.0,395,42,1538,13033
106473,375.0,768,1,324,1772
174939,776.0,727,1,78927,80906
13537,790.0,1492,1,271166,276977
227616,790.0,1492,26,271166,276977
193254,888.0,866,26,234988,235872
153479,888.0,866,1,234988,235872
148738,6.0,933,3,68197,87386
201257,790.0,1492,3,271166,276977
110847,,-1,8,0,590631
157890,888.0,866,48,234988,235872
6937,364.0,711,1,68301,68312
9852,698.0,1251,1,44115,44743
165990,790.0,1492,1,271166,276977
41163,915.0,1550,11,7109,8276
9255,888.0,866,1,234988,235872
216930,,-1,6,0,590631
40956,776.0,727,17,78927,80906
3180,6.0,933,1,68197,87386
91318,112.0,381,1,66052,66282
210521,104.0,164,7,3464,3635
129888,,-1,10,0,590631
112800,790.0,1492,18,271166,276977
215061,888.0,866,1,234988,235872
45138,678.0,250,1,64043,82373
199481,283.0,1579,6,70946,80723
80032,888.0,866,1,234988,235872
92725,790.0,1492,1,271166,276977
123890,,-1,4,0,590631
184491,76.0,71,8,392,1225
162428,586.0,1519,10,2227,3421
56574,,-1,4,0,590631
171872,888.0,866,2,234988,235872
168877,,-1,60,0,590631
220621,549.0,781,4,467,2731
30867,678.0,250,2,64043,82373
93719,790.0,1492,6,271166,276977
127782,589.0,1308,2,330,1079
18554,790.0,1492,45,271166,276977
122454,72.0,620,1,224,1404
22491,981.0,949,22,9087,9187
131399,400.0,110,3,32988,33761
106865,888.0,866,41,234988,235872
108400,790.0,1492,3,271166,276977
89695,790.0,1492,2,271166,276977
174293,888.0,866,1,234988,235872
17804,,-1,38,0,590631
194519,6.0,933,2,68197,87386
172396,842.0,1518,2,713,1000
39486,384.0,140,20,822,6864
109496,,-1,30,0,590631
182760,,-1,14,0,590631
91288,888.0,866,2,234988,235872
58888,978.0,747,5,6979,6979
218841,,-1,32,0,590631
30901,202.0,1008,5,68054,68963
190557,189.0,586,1,2898,3409
112130,,-1,29,0,590631
222163,61.0,140,10,2444,6864
131469,,-1,35,0,590631
183193,790.0,1492,32,271166,276977
191788,1032.0,557,3,8000,8131
130448,506.0,250,4,5458,82373
129082,790.0,1492,1,271166,276977
43079,,-1,33,0,590631
180638,953.0,506,2,1040,6941
211397,888.0,866,7,234988,235872
193620,888.0,866,13,234988,235872
162085,663.0,395,1,3718,13033
26139,764.0,1370,1,62573,62592
119264,101.0,312,3,834,3078
217784,790.0,1492,37,271166,276977
54600,364.0,711,1,68301,68312
96234,892.0,14,6,1363,1710
150414,202.0,1008,20,68054,68963
9416,28.0,1604,11,24871,29698
202274,227.0,602,13,52466,52865
162685,888.0,866,1,234988,235872
159317,888.0,866,18,234988,235872
188163,6.0,933,56,68197,87386
208283,949.0,1591,26,278,1278
167523,888.0,866,1,234988,235872
173217,1036.0,1420,3,25717,25773
222699,846.0,1012,10,5944,6657
23288,230.0,1424,1,8926,12622
52641,523.0,593,5,1597,8821
57561,790.0,1492,10,271166,276977
15506,888.0,866,17,234988,235872
44227,364.0,711,25,68301,68312
196271,671.0,1426,4,3666,4322
133653,227.0,602,1,52466,52865
101838,1066.0,293,8,7412,8099
5348,283.0,1579,1,70946,80723
172243,790.0,1492,4,271166,276977
161284,,-1,12,0,590631
180334,678.0,250,25,64043,82373
207184,698.0,1251,4,44115,44743
94338,678.0,250,71,64043,82373
131426,581.0,1600,9,10543,11363
62877,839.0,33,11,66622,68188
210531,653.0,-1,3,1360,590631
211817,159.0,1028,5,60445,60669
105885,713.0,1615,11,12789,13983
200110,,-1,100,0,590631
17117,335.0,1486,24,3137,5044
7436,,-1,36,0,590631
91649,928.0,20,46,26829,28391
98566,888.0,866,9,234988,235872
24919,790.0,1492,24,271166,276977
148610,678.0,250,5,64043,82373
63029,713.0,1615,1,12789,13983
157111,6.0,933,13,68197,87386
6895,,-1,2,0,590631
122663,,-1,93,0,590631
167740,6.0,933,1,68197,87386
109595,888.0,866,17,234988,235872
225945,888.0,866,7,234988,235872
120803,758.0,781,4,1783,2731
99547,888.0,866,50,234988,235872
121509,763.0,1579,7,839,80723
111068,689.0,207,10,23918,24621
48366,790.0,1492,7,271166,276977
173055,751.0,893,1,1236,8190
16364,434.0,968,2,1867,1867
144344,,-1,13,0,590631
150049,764.0,1370,17,62573,62592
179638,764.0,1370,2,62573,62592
223319,846.0,1012,39,5944,6657
126601,,-1,2,0,590631
166666,888.0,866,1,234988,235872
116326,400.0,110,6,32988,33761
6230,,-1,19,0,590631
226538,,-1,1,0,590631
227035,790.0,1492,46,271166,276977
111219,790.0,1492,10,271166,276977
113159,,-1,91,0,590631
53597,348.0,1499,1,21108,21418
78196,,-1,19,0,590631
20605,283.0,1579,5,70946,80723
184329,38.0,418,1,1848,6223
113380,,-1,3,0,590631
45562,589.0,1308,6,330,1079
172895,215.0,1453,4,377,682
225375,686.0,594,15,7493,9219
220034,235.0,1224,3,842,7962
121100,42.0,170,2,4666,4762
35501,888.0,866,2,234988,235872
102205,6.0,933,10,68197,87386
227129,678.0,250,8,64043,82373
17964,104.0,164,5,3464,3635
8253,529.0,623,8,641,641
138851,852.0,1606,3,1963,4126
27540,839.0,33,4,66622,68188
223701,785.0,1692,1,1745,1745
124644,,-1,22,0,590631
32788,,-1,73,0,590631
118056,159.0,1028,1,60445,60669
148081,941.0,1492,1,4764,276977
36181,790.0,1492,9,271166,276977
97205,888.0,866,1,234988,235872
230951,602.0,791,11,728,787
213599,1036.0,1420,3,25717,25773
158928,,-1,1103,0,590631
16104,790.0,1492,24,271166,276977
115834,888.0,866,2,234988,235872
82822,348.0,1499,9,21108,21418
29076,698.0,1251,1,44115,44743
222469,364.0,711,2,68301,68312
156092,790.0,1492,13,271166,276977
108886,888.0,866,20,234988,235872
218870,689.0,207,5,23918,24621
104849,,-1,4,0,590631
5083,,-1,2,0,590631
89421,,-1,14,0,590631
45141,790.0,1492,5,271166,276977
130252,790.0,1492,4,271166,276977
169285,790.0,1492,2,271166,276977
132190,1032.0,557,15,8000,8131
7082,1036.0,1420,5,25717,25773
79098,723.0,995,4,392,765
79949,159.0,1028,15,60445,60669
216959,764.0,1370,10,62573,62592
15427,790.0,1492,25,271166,276977
128725,46.0,1519,1,1050,3421
138751,888.0,866,2,234988,235872
129943,790.0,1492,24,271166,276977
80075,888.0,866,2,234988,235872
109328,1036.0,1420,1,25717,25773
191950,790.0,1492,3,271166,276977
2258,888.0,866,2,234988,235872
20652,1036.0,1420,28,25717,25773
95326,790.0,1492,2,271166,276977
164275,348.0,1499,1,21108,21418
1644,790.0,1492,38,271166,276977
194992,208.0,33,8,1467,68188
10371,529.0,623,1,641,641
115569,227.0,602,6,52466,52865
204260,364.0,711,2,68301,68312
95138,159.0,1028,136,60445,60669
13010,1036.0,1420,4,25717,25773
70650,917.0,1374,15,62155,62171
66927,888.0,866,1,234988,235872
82071,159.0,1028,1,60445,60669
214556,6.0,933,5,68197,87386
19786,,-1,1,0,590631
95767,619.0,145,1,1800,1817
168127,112.0,381,3,66052,66282
162036,202.0,1008,1,68054,68963
200984,935.0,322,1,4474,7406
174264,591.0,933,2,18513,87386
57462,888.0,866,4,234988,235872
56356,839.0,33,22,66622,68188
114840,917.0,1374,18,62155,62171
210904,790.0,1492,4,271166,276977
17824,,-1,15,0,590631
112550,888.0,866,41,234988,235872
21759,202.0,1008,17,68054,68963
92570,888.0,866,3,234988,235872
101163,888.0,866,2,234988,235872
95786,0.0,605,436,6543,8161
33003,888.0,866,69,234988,235872
119703,,-1,3,0,590631
113253,1036.0,1420,37,25717,25773
60188,764.0,1370,2,62573,62592
65985,776.0,727,3,78927,80906
13920,208.0,33,1,1467,68188
25113,468.0,666,4,2138,4979
198052,928.0,20,1,26829,28391
38063,369.0,1486,3,1174,5044
74734,888.0,866,1,234988,235872
147643,839.0,33,1,66622,68188
164198,888.0,866,2,234988,235872
187119,,-1,1,0,590631
24977,283.0,1579,60,70946,80723
228826,790.0,1492,2,271166,276977
90470,28.0,1604,23,24871,29698
230620,438.0,312,8,648,3078
30014,451.0,945,2,12111,16966
134596,,-1,4,0,590631
14198,102.0,351,29,3737,9102
175419,283.0,1579,46,70946,80723
210182,678.0,250,1,64043,82373
213580,,-1,1,0,590631
178479,,-1,2,0,590631
179,400.0,110,29,32988,33761
168974,6.0,933,1,68197,87386
75662,888.0,866,20,234988,235872
87319,546.0,250,32,4068,82373
33300,790.0,1492,1,271166,276977
219516,888.0,866,8,234988,235872
87612,,-1,95,0,590631
171498,935.0,322,1,4474,7406
105936,698.0,1251,4,44115,44743
29087,888.0,866,2,234988,235872
1525,6.0,933,8,68197,87386
56737,0.0,605,7,6543,8161
52075,202.0,1008,51,68054,68963
35093,364.0,711,22,68301,68312
182803,839.0,33,1,66622,68188
115200,764.0,1370,10,62573,62592
123135,392.0,1202,2,2331,2377
188492,486.0,25,4,578,1546
3294,888.0,866,1,234988,235872
55965,888.0,866,2,234988,235872
2570,962.0,945,2,3094,16966
194478,790.0,1492,2,271166,276977
94166,790.0,1492,26,271166,276977
14064,764.0,1370,8,62573,62592
142625,790.0,1492,47,271166,276977
157392,698.0,1251,4,44115,44743
71369,678.0,250,203,64043,82373
194194,335.0,1486,401,3137,5044
59678,790.0,1492,11,271166,276977
30917,400.0,110,6,32988,33761
168884,917.0,1374,19,62155,62171
39080,6.0,933,1,68197,87386
74662,839.0,33,11,66622,68188
17051,830.0,1272,44,974,1100
119842,917.0,1374,3,62155,62171
135006,696.0,989,1,1123,3306
215088,678.0,250,1,64043,82373
224741,888.0,866,21,234988,235872
97826,790.0,1492,35,271166,276977
168914,,-1,2,0,590631
161454,790.0,1492,20,271166,276977
138059,591.0,933,4,18513,87386
197881,784.0,38,4,3423,3478
58815,790.0,1492,108,271166,276977
181511,451.0,945,38,12111,16966
8564,775.0,763,2,1230,1636
217737,790.0,1492,1,271166,276977
158313,747.0,287,4,507,759
115301,364.0,711,1,68301,68312
155985,227.0,602,20,52466,52865
22835,451.0,945,5,12111,16966
43785,407.0,207,2,132,24621
212984,,-1,5,0,590631
124432,888.0,866,1,234988,235872
77024,790.0,1492,96,271166,276977
65387,888.0,866,9,234988,235872
90050,917.0,1374,5,62155,62171
77475,,-1,2,0,590631
119121,,-1,1,0,590631
83048,888.0,866,10,234988,235872
164702,505.0,334,1,435,473
123949,486.0,25,1,578,1546
134910,283.0,1579,1,70946,80723
24324,689.0,207,3,23918,24621
30601,159.0,1028,1,60445,60669
164838,790.0,1492,9,271166,276977
81361,678.0,250,1,64043,82373
49253,,-1,11,0,590631
158895,888.0,866,1,234988,235872
173537,888.0,866,1,234988,235872
47643,521.0,654,5,8133,13221
72735,888.0,866,1,234988,235872
45444,,-1,10,0,590631
204855,355.0,1534,1,1700,2132
230061,981.0,949,26,9087,9187
212479,227.0,602,6,52466,52865
40756,,-1,2,0,590631
207750,888.0,866,53,234988,235872
8576,202.0,1008,3,68054,68963
153764,678.0,250,1,64043,82373
187005,888.0,866,2,234988,235872
19317,879.0,1482,73,1022,2469
214551,765.0,1229,169,2551,4716
60857,810.0,378,26,11279,13107
118746,888.0,866,1,234988,235872
85507,776.0,727,37,78927,80906
158947,888.0,866,1,234988,235872
100698,961.0,132,1,1413,5491
150175,713.0,1615,12,12789,13983
114199,1032.0,557,6,8000,8131
129393,6.0,933,1,68197,87386
37597,225.0,593,46,6833,8821
172565,658.0,506,1,2953,6941
77424,335.0,1486,7,3137,5044
175238,678.0,250,4,64043,82373
105301,83.0,1621,12,675,748
103499,888.0,866,34,234988,235872
82416,790.0,1492,6,271166,276977
145639,1036.0,1420,44,25717,25773
167551,230.0,1424,3,8926,12622
46168,888.0,866,22,234988,235872
34713,348.0,1499,2,21108,21418
160537,790.0,1492,5,271166,276977
197674,348.0,1499,1,21108,21418
229646,888.0,866,4,234988,235872
197803,,-1,1,0,590631
174617,1092.0,664,3,2293,3249
160078,917.0,1374,1,62155,62171
122134,888.0,866,128,234988,235872
112443,,-1,118,0,590631
53957,112.0,381,10,66052,66282
47874,790.0,1492,4,271166,276977
216003,490.0,647,6,2069,2116
147761,888.0,866,57,234988,235872
40344,1080.0,1281,6,630,1730
143382,678.0,250,46,64043,82373
139657,678.0,250,2,64043,82373
175956,431.0,-1,9,972,590631
161236,888.0,866,6,234988,235872
162332,790.0,1492,91,271166,276977
187084,506.0,250,23,5458,82373
217178,364.0,711,34,68301,68312
229690,570.0,9,1,240,876
41537,790.0,1492,17,271166,276977
58688,888.0,866,6,234988,235872
197596,776.0,727,42,78927,80906
169257,,-1,2,0,590631
31117,941.0,1492,4,4764,276977
124603,790.0,1492,4,271166,276977
204965,0.0,605,11,6543,8161
126345,,-1,1,0,590631
168410,945.0,653,2,568,1520
38525,,-1,16,0,590631
3245,663.0,395,1,3718,13033
34060,678.0,250,5,64043,82373
159560,888.0,866,42,234988,235872
222482,790.0,1492,2,271166,276977
84634,,-1,3,0,590631
111302,411.0,561,6,1394,4266
103990,961.0,132,1,1413,5491
41446,790.0,1492,1,271166,276977
2995,521.0,654,9,8133,13221
91328,888.0,866,81,234988,235872
52489,981.0,949,1,9087,9187
208433,28.0,1604,1,24871,29698
179709,591.0,933,55,18513,87386
30776,751.0,893,1,1236,8190
220320,581.0,1600,6,10543,11363
168786,784.0,38,17,3423,3478
164086,364.0,711,372,68301,68312
121914,888.0,866,17,234988,235872
126354,,-1,5,0,590631
203829,,-1,9,0,590631
125195,790.0,1492,11,271166,276977
212999,713.0,1615,31,12789,13983
168429,6.0,933,72,68197,87386
231538,189.0,586,19,2898,3409
3863,917.0,1374,1,62155,62171
83340,790.0,1492,1,271166,276977
116795,152.0,1329,7,1790,1840
86019,227.0,602,2,52466,52865
147463,159.0,1028,1,60445,60669
44916,941.0,1492,6,4764,276977
150123,202.0,1008,7,68054,68963
230559,,-1,103,0,590631
57686,65.0,293,30,424,8099
68206,888.0,866,5,234988,235872
116843,,-1,29,0,590631
166143,159.0,1028,4,60445,60669
97184,888.0,866,2,234988,235872
197511,202.0,1008,1,68054,68963
230589,790.0,1492,1,271166,276977
68339,6.0,933,1,68197,87386
224046,233.0,630,1,614,841
35009,790.0,1492,7,271166,276977
40278,917.0,1374,2,62155,62171
149356,,-1,2,0,590631
156349,678.0,250,1,64043,82373
79626,888.0,866,44,234988,235872
233996,888.0,866,1,234988,235872
